RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
67,1971,0.0,0.0,0.0,640.0,440.0,0.0,0.0,1240.0,0.0,0.0,160.0,0.0,600.0,0.0,40.0,0.0,0.0,0.0,80.0,80.0,0.0,720.0,0.0,0.0
67,1972,40.0,0.0,0.0,0.0,600.0,0.0,0.0,3080.0,0.0,0.0,40.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
67,1973,0.0,80.0,0.0,240.0,1680.0,0.0,0.0,7480.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,120.0,0.0,200.0,0.0,120.0,0.0,0.0
67,1974,0.0,0.0,0.0,40.0,720.0,0.0,0.0,2480.0,0.0,0.0,80.0,0.0,840.0,0.0,80.0,0.0,0.0,0.0,0.0,200.0,0.0,240.0,160.0,0.0
67,1975,0.0,0.0,0.0,1320.0,520.0,40.0,0.0,3920.0,0.0,0.0,80.0,0.0,920.0,0.0,80.0,0.0,0.0,0.0,40.0,360.0,0.0,0.0,40.0,0.0
67,1976,40.0,0.0,0.0,3920.0,960.0,0.0,0.0,13040.0,0.0,0.0,40.0,0.0,360.0,0.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,40.0,0.0,0.0
67,1977,40.0,0.0,0.0,2880.0,2440.0,0.0,0.0,15360.0,0.0,0.0,120.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
67,1978,40.0,0.0,0.0,600.0,1640.0,0.0,0.0,6160.0,0.0,0.0,320.0,0.0,200.0,0.0,120.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,360.0,0.0
67,1979,0.0,0.0,0.0,800.0,1320.0,80.0,0.0,2920.0,0.0,0.0,520.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0
67,1980,0.0,0.0,0.0,160.0,400.0,0.0,0.0,1040.0,0.0,0.0,600.0,0.0,120.0,0.0,0.0,40.0,0.0,40.0,0.0,200.0,0.0,0.0,0.0,0.0
